"Year","Location","Sunshine_duration","Altitude","Annual_Precipitation","Annual_temperature","Annual_ice_days","Annual_frost_days","Annual_summer_days","Annual_heat_days","Annual_tropic_days","Annual_precipitation_days"
1943,"Davos",1788.5,1594,864.2,3.1,NA,NA,NA,NA,NA,NA
1943,"GenfCointrin",1917.38333333333,411,834,10.4,NA,NA,NA,NA,NA,NA
1943,"LocarnoMonti",2464.7,367,1379.8,12.5,NA,NA,NA,NA,NA,NA
1943,"Lugano",2288.9,273,1108.9,12.7,NA,NA,NA,NA,NA,NA
1943,"Luzern",1705.8,454,804,9.4,NA,NA,NA,NA,NA,NA
1943,"Neuenburg",1867.2,485,819.1,10.1,NA,NA,NA,NA,NA,NA
1943,"Säntis",1728.6,2501,2320.5,-1.1,NA,NA,NA,NA,NA,NA
1943,"Samedan",NA,1709,490.6,2,NA,NA,NA,NA,NA,NA
1943,"Sitten",NA,482,441.2,9.9,NA,NA,NA,NA,NA,NA
1943,"St.Gallen",NA,776,970.7,7.9,NA,NA,NA,NA,NA,NA
1943,"ZürichFluntern",1808.53333333333,556,763.1,9.2,NA,NA,NA,NA,NA,NA
1944,"BaselBinningen",1442.6,316,830.4,9.3,NA,NA,NA,NA,NA,NA
1944,"BernZollikofen",1679.4,553,1015.7,7.4,NA,NA,NA,NA,NA,NA
1944,"Davos",1558.8,1594,1104.4,1.7,NA,NA,NA,NA,NA,NA
1944,"GenfCointrin",1792,411,846,9.6,NA,NA,NA,NA,NA,NA
1944,"LocarnoMonti",2375.8,367,1600.1,11.3,NA,NA,NA,NA,NA,NA
1944,"Lugano",2184.9,273,1217.2,11.5,NA,NA,NA,NA,NA,NA
1944,"Luzern",1450.1,454,1225.7,8.3,NA,NA,NA,NA,NA,NA
1944,"Neuenburg",1683.7,485,1043.1,9.1,NA,NA,NA,NA,NA,NA
1944,"Säntis",1333.3,2501,3303.9,-2.8,NA,NA,NA,NA,NA,NA
1944,"Samedan",NA,1709,752.7,0.9,NA,NA,NA,NA,NA,NA
1944,"Sitten",NA,482,733.2,8.5,NA,NA,NA,NA,NA,NA
1944,"St.Gallen",NA,776,1570.5,7,NA,NA,NA,NA,NA,NA
1944,"ZürichFluntern",1479.96666666667,556,1087.2,8.2,NA,NA,NA,NA,NA,NA
1945,"BaselBinningen",1854.95,316,644.6,10,NA,NA,NA,NA,NA,NA
1945,"BernZollikofen",2025,553,753,8.2,NA,NA,NA,NA,NA,NA
1945,"Davos",1786,1594,968.8,2.5,NA,NA,NA,NA,NA,NA
1945,"GenfCointrin",2011.66666666667,411,659.4,10.3,NA,NA,NA,NA,NA,NA
1945,"LocarnoMonti",2740.8,367,1736.4,12.3,NA,NA,NA,NA,NA,NA
1945,"Lugano",2590.5,273,1269.2,12.5,NA,NA,NA,NA,NA,NA
1945,"Luzern",1776.3,454,1089.8,9,NA,NA,NA,NA,NA,NA
1945,"Neuenburg",1929.1,485,726.7,9.9,NA,NA,NA,NA,NA,NA
1945,"Säntis",1615.9,2501,2829.8,-1.6,NA,NA,NA,NA,NA,NA
1945,"Samedan",NA,1709,587.4,1.6,NA,NA,NA,NA,NA,NA
